class_id,service_name,availability,exec_time,throughput
1,сервіс_1_1,0.91,0.28,64
1,сервіс_1_2,0.97,0.15,52
1,сервіс_1_3,0.93,0.34,52
1,сервіс_1_4,0.88,0.2,74
1,сервіс_1_5,0.86,0.16,95
1,сервіс_1_6,0.95,0.29,92
1,сервіс_1_7,0.95,0.16,51
1,сервіс_1_8,0.95,0.3,76
1,сервіс_1_9,0.91,0.47,94
1,сервіс_1_10,0.94,0.32,98
1,сервіс_1_11,0.98,0.49,71
1,сервіс_1_12,0.89,0.23,69
1,сервіс_1_13,0.99,0.22,87
1,сервіс_1_14,0.87,0.22,78
1,сервіс_1_15,0.9,0.35,66
1,сервіс_1_16,0.92,0.37,52
1,сервіс_1_17,0.95,0.15,65
1,сервіс_1_18,0.86,0.1,76
1,сервіс_1_19,0.96,0.2,98
1,сервіс_1_20,0.97,0.12,83
1,сервіс_1_21,0.98,0.42,70
1,сервіс_1_22,0.99,0.47,64
1,сервіс_1_23,0.87,0.25,61
1,сервіс_1_24,0.98,0.49,51
1,сервіс_1_25,0.88,0.37,53
1,сервіс_1_26,0.86,0.45,87
1,сервіс_1_27,0.9,0.28,55
1,сервіс_1_28,0.87,0.36,67
1,сервіс_1_29,0.88,0.42,52
1,сервіс_1_30,0.88,0.28,88
1,сервіс_1_31,0.92,0.25,79
1,сервіс_1_32,0.93,0.28,60
1,сервіс_1_33,0.86,0.21,80
1,сервіс_1_34,0.91,0.39,81
1,сервіс_1_35,0.87,0.43,92
1,сервіс_1_36,0.86,0.21,62
1,сервіс_1_37,0.85,0.37,84
1,сервіс_1_38,0.88,0.34,54
1,сервіс_1_39,0.91,0.24,90
1,сервіс_1_40,0.93,0.27,61
1,сервіс_1_41,0.98,0.23,79
1,сервіс_1_42,0.98,0.22,58
1,сервіс_1_43,0.97,0.31,88
1,сервіс_1_44,0.9,0.23,87
1,сервіс_1_45,0.92,0.27,55
1,сервіс_1_46,0.86,0.39,77
1,сервіс_1_47,0.85,0.3,50
1,сервіс_1_48,0.91,0.39,59
2,сервіс_2_1,0.87,0.18,50
2,сервіс_2_2,0.86,0.17,59
2,сервіс_2_3,0.9,0.3,89
2,сервіс_2_4,0.86,0.25,71
2,сервіс_2_5,0.94,0.12,56
2,сервіс_2_6,0.86,0.34,97
2,сервіс_2_7,0.92,0.2,97
2,сервіс_2_8,0.91,0.39,81
2,сервіс_2_9,0.94,0.26,56
2,сервіс_2_10,0.97,0.28,73
2,сервіс_2_11,0.86,0.31,80
2,сервіс_2_12,0.87,0.36,54
2,сервіс_2_13,0.9,0.27,50
2,сервіс_2_14,0.91,0.37,64
2,сервіс_2_15,0.92,0.2,68
2,сервіс_2_16,0.9,0.39,94
2,сервіс_2_17,0.96,0.46,81
2,сервіс_2_18,0.94,0.24,75
2,сервіс_2_19,0.98,0.41,70
2,сервіс_2_20,0.85,0.42,91
2,сервіс_2_21,0.91,0.2,66
2,сервіс_2_22,0.85,0.12,83
2,сервіс_2_23,0.97,0.27,58
2,сервіс_2_24,0.93,0.19,54
2,сервіс_2_25,0.97,0.15,95
2,сервіс_2_26,0.91,0.12,80
3,сервіс_3_1,0.86,0.18,96
3,сервіс_3_2,0.86,0.22,67
3,сервіс_3_3,0.85,0.37,93
